name,id,address,date,kWh,public_url,installationDate,uid
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 11:00:00 AM,11.365,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 12:00:00 PM,13.85,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 01:00:00 PM,14.476,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 02:00:00 PM,13.804,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 03:00:00 PM,12.224,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 04:00:00 PM,9.758,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 05:00:00 PM,3.784,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 06:00:00 PM,1.056,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 07:00:00 PM,0.174,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 06:00:00 AM,0.051,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 06:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 07:00:00 AM,0.996,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 08:00:00 AM,2.981,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 09:00:00 AM,4.301,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 10:00:00 AM,4.458,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 11:00:00 AM,7.917,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 12:00:00 PM,9.378,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 01:00:00 PM,8.955,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 02:00:00 PM,13.636,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 03:00:00 PM,12.088,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 04:00:00 PM,8.485,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 05:00:00 PM,9.076,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 06:00:00 PM,6.558,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 07:00:00 PM,2.323,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/02 08:00:00 PM,0.302,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-02 20:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 06:00:00 AM,0.102,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 06:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 07:00:00 AM,0.839,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 08:00:00 AM,2.562,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 09:00:00 AM,5.126,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 10:00:00 AM,9.706,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 11:00:00 AM,11.548,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 12:00:00 PM,14.043,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 01:00:00 PM,14.682,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 02:00:00 PM,14.322,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 03:00:00 PM,13.393,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 04:00:00 PM,11.121,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 05:00:00 PM,6.323,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 06:00:00 PM,3.689,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 07:00:00 PM,1.932,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/03 08:00:00 PM,0.325,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-03 20:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 07:00:00 AM,0.36,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 06:00:00 AM,0.099,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 06:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 07:00:00 AM,1.057,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 08:00:00 AM,2.664,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 09:00:00 AM,5.335,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 10:00:00 AM,8.822,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 11:00:00 AM,9.274,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 12:00:00 PM,5.455,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 01:00:00 PM,3.762,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 02:00:00 PM,4.712,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 03:00:00 PM,0.777,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 04:00:00 PM,0.401,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 05:00:00 PM,0.343,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 06:00:00 PM,0.145,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/01 07:00:00 PM,0.036,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-01 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 08:00:00 AM,1.523,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 09:00:00 AM,3.914,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 10:00:00 AM,6.504,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 11:00:00 AM,8.239,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 12:00:00 PM,8.997,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 01:00:00 PM,11.121,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 02:00:00 PM,6.547,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/08/04 03:00:00 PM,12.186,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-08-04 15:00:00
